MORTGAGE AMORTIZATION SCHEDULELoan amount: $480000.00
Loan rate: 6.875%
Loan term: 15 years
Monthly payment: $4280.90
Total paid: $770562.00
Cost of credit: $290562.00
      /-------   PAYMENT   --------\  /---------   TOTAL   ---------\
month  payment  interest principal  interest   principal     paid   balance
   12  4280.90   2650.71    1630.19  31808.52   19562.28  51370.80 461039.13
   24  4280.90   2535.03    1745.87  60840.82   41900.78 102741.60 440732.83
   36  4280.90   2411.15    1869.75  86801.42   67310.98 154112.40 418985.63
   48  4280.90   2278.48    2002.42 109366.87   96116.33 205483.20 395695.29
   60  4280.90   2136.39    2144.51 128183.28  128670.72 256854.00 370752.30
   72  4280.90   1984.22    2296.68 142863.64  165361.16 308224.80 344039.41
   84  4280.90   1821.25    2459.65 152984.88  206610.72 359595.60 315431.01
   96  4280.90   1646.72    2634.18 158084.74  252881.66 410966.40 284792.61
  108  4280.90   1459.80    2821.10 157658.28  304678.92 462337.20 251980.17
  120  4280.90   1259.62    3021.28 151154.22  362553.78 513708.00 216839.41
  132  4280.90   1045.23    3235.67 137970.85  427107.95 565078.80 179205.12
  144  4280.90    815.64    3465.26 117451.65  498997.95 616449.60 138900.37
  156  4280.90    569.75    3711.15  88880.60  578939.80 667820.40  95735.67
  168  4280.90    306.41    3974.49  51476.97  667714.23 719191.20  49508.08
  180  4280.90     24.39    4256.51   4389.79  766172.21 770562.00      0.25
